,TeamID,yr,school,pct_win_rd,rd
558,1397,2021,tennessee,78.4,1
559,1397,2021,tennessee,34.5,2
560,1397,2021,tennessee,8.4,3
561,1397,2021,tennessee,3.7,4
562,1397,2021,tennessee,1.4,5
563,1397,2021,tennessee,0.6,6
564,1397,2022,tennessee,93.7,1
565,1397,2022,tennessee,75.4,2
566,1397,2022,tennessee,42.8,3
567,1397,2022,tennessee,18.9,4
568,1397,2022,tennessee,10.0,5
569,1397,2022,tennessee,4.2,6
570,1400,2021,texas,91.4,1
571,1400,2021,texas,68.2,2
572,1400,2021,texas,32.7,3
573,1400,2021,texas,15.5,4
574,1400,2021,texas,3.8,5
575,1400,2021,texas,1.6,6
576,1400,2022,texas,47.5,1
577,1400,2022,texas,15.6,2
578,1400,2022,texas,5.0,3
579,1400,2022,texas,1.7,4
580,1400,2022,texas,0.6,5
581,1400,2022,texas,0.3,6
582,1411,2021,texas southern,3.1,1
583,1411,2021,texas southern,1.3,2
584,1411,2021,texas southern,0.7,3
585,1411,2021,texas southern,0.4,4
586,1411,2021,texas southern,0.2,5
587,1411,2021,texas southern,0.1,6
588,1411,2022,texas southern,3.4,1
589,1411,2022,texas southern,1.5,2
590,1411,2022,texas southern,0.8,3
591,1411,2022,texas southern,0.5,4
592,1411,2022,texas southern,0.2,5
593,1411,2022,texas southern,0.1,6
594,1403,2021,texas tech,76.1,1
595,1403,2021,texas tech,36.3,2
596,1403,2021,texas tech,13.5,3
597,1403,2021,texas tech,4.1,4
598,1403,2021,texas tech,1.4,5
599,1403,2021,texas tech,0.5,6
600,1403,2022,texas tech,92.2,1
601,1403,2022,texas tech,69.8,2
602,1403,2022,texas tech,36.4,3
603,1403,2022,texas tech,10.5,4
604,1403,2022,texas tech,4.7,5
605,1403,2022,texas tech,2.0,6
606,1412,2022,uab,19.8,1
607,1412,2022,uab,5.9,2
608,1412,2022,uab,1.2,3
609,1412,2022,uab,0.5,4
610,1412,2022,uab,0.2,5
611,1412,2022,uab,0.1,6
612,1417,2021,ucla,34.2,1
613,1417,2021,ucla,8.3,2
614,1417,2021,ucla,2.6,3
615,1417,2021,ucla,0.9,4
616,1417,2021,ucla,0.3,5
617,1417,2021,ucla,0.2,6
618,1417,2022,ucla,90.9,1
619,1417,2022,ucla,66.6,2
620,1417,2022,ucla,27.9,3
621,1417,2022,ucla,11.8,4
622,1417,2022,ucla,4.1,5
623,1417,2022,ucla,1.9,6
624,1163,2021,uconn,56.4,1
625,1163,2021,uconn,15.0,2
626,1163,2021,uconn,7.0,3
627,1163,2021,uconn,2.7,4
628,1163,2021,uconn,0.8,5
629,1163,2021,uconn,0.4,6
630,1163,2022,uconn,80.3,1
631,1163,2022,uconn,40.6,2
632,1163,2022,uconn,6.6,3
633,1163,2022,uconn,2.8,4
634,1163,2022,uconn,1.2,5
635,1163,2022,uconn,0.6,6
636,1364,2021,ucsb,27.7,1
637,1364,2021,ucsb,7.3,2
638,1364,2021,ucsb,0.8,3
639,1364,2021,ucsb,0.3,4
640,1364,2021,ucsb,0.2,5
641,1364,2021,ucsb,0.1,6
642,1422,2021,unc greensboro,10.9,1
643,1422,2021,unc greensboro,3.3,2
644,1422,2021,unc greensboro,0.8,3
645,1422,2021,unc greensboro,0.3,4
646,1422,2021,unc greensboro,0.1,5
647,1422,2021,unc greensboro,0.1,6
648,1425,2021,usc,78.7,1
649,1425,2021,usc,28.3,2
650,1425,2021,usc,9.0,3
651,1425,2021,usc,1.7,4
652,1425,2021,usc,0.6,5
653,1425,2021,usc,0.3,6
654,1425,2022,usc,55.2,1
655,1425,2022,usc,11.3,2
656,1425,2022,usc,4.8,3
657,1425,2022,usc,1.4,4
658,1425,2022,usc,0.4,5
659,1425,2022,usc,0.2,6
660,1429,2021,utah state,23.9,1
661,1429,2021,utah state,6.4,2
662,1429,2021,utah state,1.6,3
663,1429,2021,utah state,0.5,4
664,1429,2021,utah state,0.2,5
665,1429,2021,utah state,0.1,6
666,1433,2021,vcu,34.8,1
667,1433,2021,vcu,5.4,2
668,1433,2021,vcu,1.7,3
669,1433,2021,vcu,0.4,4
670,1433,2021,vcu,0.2,5
671,1433,2021,vcu,0.1,6
672,1436,2022,vermont,23.1,1
673,1436,2022,vermont,7.9,2
674,1436,2022,vermont,1.1,3
675,1436,2022,vermont,0.4,4
676,1436,2022,vermont,0.2,5
677,1436,2022,vermont,0.1,6
678,1437,2021,villanova,73.1,1
679,1437,2021,villanova,38.8,2
680,1437,2021,villanova,10.0,3
681,1437,2021,villanova,5.2,4
682,1437,2021,villanova,2.4,5
683,1437,2021,villanova,0.8,6
684,1437,2022,villanova,94.9,1
685,1437,2022,villanova,76.0,2
686,1437,2022,villanova,41.0,3
687,1437,2022,villanova,17.4,4
688,1437,2022,villanova,9.5,5
689,1437,2022,villanova,3.9,6
690,1438,2021,virginia,76.8,1
691,1438,2021,virginia,50.8,2
692,1438,2021,virginia,8.1,3
693,1438,2021,virginia,3.9,4
694,1438,2021,virginia,1.8,5
695,1438,2021,virginia,0.9,6
696,1439,2021,virginia tech,46.6,1
697,1439,2021,virginia tech,8.0,2
698,1439,2021,virginia tech,3.0,3
699,1439,2021,virginia tech,0.8,4
700,1439,2021,virginia tech,0.3,5
701,1439,2021,virginia tech,0.2,6
702,1439,2022,virginia tech,52.5,1
703,1439,2022,virginia tech,18.7,2
704,1439,2022,virginia tech,5.6,3
705,1439,2022,virginia tech,2.1,4
706,1439,2022,virginia tech,0.7,5
707,1439,2022,virginia tech,0.4,6
708,1452,2021,west virginia,91.8,1
709,1452,2021,west virginia,60.8,2
710,1452,2021,west virginia,30.3,3
711,1452,2021,west virginia,8.1,4
