version https://git-lfs.github.com/spec/v1,team,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,trb,ast,stl,blk,tov,pf,year
oid sha256:e71f55f5cb8ea895d20790615afb0c233f8f5354de41234ec4e70640802fd4dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
size 1514983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,idaho,Idaho,34,29,5,.853,6.59,-4.31,17,1,14,1,10,4,2622,2190,1365,973,2304,.422,227,736,.308,449,623,.721,525,1596,469,309,149,524,545,2026.0
,idaho-state,Idaho State,30,19,11,.633,0.63,-2.75,12,6,8,5,10,4,1969,1819,1205,728,1804,.404,135,447,.302,378,512,.738,385,1157,401,313,85,483,546,2026.0
,illinois,Illinois,32,21,11,.656,25.49,14.11,9,9,13,4,6,6,2479,2115,1280,902,1972,.457,200,554,.361,475,583,.815,351,1133,504,225,75,397,567,2026.0
,illinois-state,Illinois State,33,20,13,.606,1.31,-3.24,13,7,14,1,5,8,2399,2249,1350,854,1930,.442,194,618,.314,497,670,.742,348,1213,541,225,104,468,447,2026.0
,illinois-chicago,Illinois-Chicago,32,14,18,.438,-3.32,-3.45,9,11,8,8,5,9,2117,2113,1285,825,1874,.440,123,422,.291,344,510,.675,339,1098,414,219,76,412,509,2026.0
,incarnate-word,Incarnate Word,30,13,17,.433,-13.39,-5.78,11,11,8,6,5,10,1964,2146,1205,685,1712,.400,218,714,.305,376,528,.712,368,1074,348,195,65,510,525,2026.0
,indiana,Indiana,32,18,14,.563,17.10,15.88,6,12,12,5,4,7,2284,2245,1280,815,1731,.471,233,622,.375,421,526,.800,220,1039,402,152,46,495,597,2026.0
,indiana-state,Indiana State,32,10,22,.313,-14.38,-3.28,5,15,6,7,3,12,2387,2679,1280,832,2100,.396,173,628,.275,550,765,.719,435,1279,415,220,87,498,692,2026.0
,iona,Iona,32,20,12,.625,-13.21,-13.47,12,8,10,5,9,6,1931,1908,1290,709,1938,.366,175,638,.274,338,459,.736,422,1204,406,235,62,444,522,2026.0
,iowa,Iowa,32,26,6,.813,32.80,21.17,15,3,14,1,8,3,2459,2087,1285,938,1920,.489,219,605,.362,364,527,.691,336,1234,665,247,102,483,450,2026.0
